set_name,card_number,player_name,team
Base Set,24,Denzel Valentine,Chicago Bulls
Base Set,25,Derrick Rose,New York Knicks
Base Set,26,Devin Booker,Phoenix Suns
Base Set,27,Dirk Nowitzki,Dallas Mavericks
Base Set,28,Domantas Sabonis,Oklahoma City Thunder
Base Set,29,Dragan Bender,Phoenix Suns
Base Set,30,Draymond Green,Golden State Warriors
Base Set,31,Dwight Howard,Atlanta Hawks
Base Set,32,Dejounte Murray,San Antonio Spurs
Base Set,33,Dwyane Wade,Chicago Bulls
Base Set,34,Hakeem Olajuwon,Houston Rockets
Base Set,35,Eric Gordon,Houston Rockets
Base Set,36,Oscar Robertson,Milwaukee Bucks
Base Set,37,Jerry West,Los Angeles Lakers
Base Set,38,Karl Malone,Utah Jazz
Base Set,39,Giannis Antetokounmpo,Milwaukee Bucks
Base Set,40,Goran Dragic,Miami Heat
Base Set,41,Gordon Hayward,Utah Jazz
Base Set,42,Harrison Barnes,Dallas Mavericks
Base Set,43,Hassan Whiteside,Miami Heat
Base Set,44,Isaiah Thomas,Boston Celtics
Base Set,45,Jakob Poeltl,Toronto Raptors
Base Set,46,Jamal Murray,Denver Nuggets
Base Set,47,James Harden,Houston Rockets
Base Set,48,Jaylen Brown,Boston Celtics
Base Set,49,Jeff Teague,Indiana Pacers
Base Set,50,Jeremy Lin,Brooklyn Nets
Base Set,51,Jimmy Butler,Chicago Bulls
Base Set,52,Joel Embiid,Philadelphia 76ers
Base Set,53,John Wall,Washington Wizards
Base Set,54,Jrue Holiday,New Orleans Pelicans
Base Set,55,Juan Hernangomez,Denver Nuggets
Base Set,56,Julius Randle,Los Angeles Lakers
Base Set,57,Justise Winslow,Miami Heat
Base Set,58,Karl-Anthony Towns,Minnesota Timberwolves
Base Set,59,Kawhi Leonard,San Antonio Spurs
Base Set,60,Julius Erving,Philadelphia 76ers
Base Set,61,Kemba Walker,Charlotte Hornets
Base Set,62,Kevin Durant,Golden State Warriors
Base Set,63,Klay Thompson,Golden State Warriors
Base Set,64,Kris Dunn,Minnesota Timberwolves
Base Set,65,Kristaps Porzingis,New York Knicks
Base Set,66,Kyle Lowry,Toronto Raptors
Base Set,67,Kyrie Irving,Cleveland Cavaliers
Base Set,68,LaMarcus Aldridge,San Antonio Spurs
Base Set,69,LeBron James,Cleveland Cavaliers
Base Set,70,Scottie Pippen,Chicago Bulls
Base Set,71,Malcolm Brogdon,Milwaukee Bucks
Base Set,72,Manu Ginobili,San Antonio Spurs
Base Set,73,Marc Gasol,Memphis Grizzlies
Base Set,74,Marquese Chriss,Phoenix Suns
Base Set,75,Michael Kidd-Gilchrist,Charlotte Hornets
Base Set,76,Myles Turner,Indiana Pacers
Base Set,77,Nicolas Batum,Charlotte Hornets
Base Set,78,Nikola Jokic,Denver Nuggets
Base Set,79,Otto Porter Jr.,Washington Wizards
Base Set,80,Patrick McCaw,Golden State Warriors
Base Set,81,Pau Gasol,San Antonio Spurs
Base Set,82,Paul George,Indiana Pacers
Base Set,83,Reggie Jackson,Detroit Pistons
Base Set,84,John Stockton,Utah Jazz
Base Set,85,Russell Westbrook,Oklahoma City Thunder
Base Set,86,David Robinson,San Antonio Spurs
Base Set,87,Skal Labissiere,Sacramento Kings
Base Set,88,Stephen Curry,Golden State Warriors
Base Set,89,Steven Adams,Oklahoma City Thunder
Base Set,90,Taurean Prince,Atlanta Hawks
Base Set,91,Thon Maker,Milwaukee Bucks
Base Set,92,Allen Iverson,Philadelphia 76ers
Base Set,93,Reggie Miller,Indiana Pacers
Base Set,94,Trevor Ariza,Houston Rockets
Base Set,95,Tyler Ulis,Phoenix Suns
Base Set,96,Victor Oladipo,Oklahoma City Thunder
Base Set,97,Dominique Wilkins,Atlanta Hawks
Base Set,98,Yogi Ferrell,Dallas Mavericks
Base Set,99,Zach LaVine,Minnesota Timberwolves
Base Set,100,John Havlicek,Boston Celtics
Base Set Bronze,1,Kobe Bryant,Los Angeles Lakers
Base Set Bronze,2,Shaquille O'Neal,Orlando Magic
Base Set Bronze,3,Larry Bird,Boston Celtics
Base Set Bronze,4,Andrew Wiggins,Minnesota Timberwolves
Base Set Bronze,5,Anthony Davis,New Orleans Pelicans
Base Set Bronze,6,Ben Simmons,Philadelphia 76ers
Base Set Bronze,7,Blake Griffin,Los Angeles Clippers
Base Set Bronze,8,Bradley Beal,Washington Wizards
Base Set Bronze,9,Brandon Ingram,Los Angeles Lakers
Base Set Bronze,10,Magic Johnson,Los Angeles Lakers
Base Set Bronze,11,Buddy Hield,Sacramento Kings
Base Set Bronze,12,C.J. McCollum,Portland Trail Blazers
Base Set Bronze,13,Wilt Chamberlain,Philadelphia 76ers
Base Set Bronze,14,Carmelo Anthony,New York Knicks
Base Set Bronze,15,Chris Paul,Los Angeles Clippers
Base Set Bronze,16,Damian Lillard,Portland Trail Blazers
Base Set Bronze,17,D'Angelo Russell,Los Angeles Lakers
Base Set Bronze,18,Kareem Abdul-Jabbar,Los Angeles Lakers
Base Set Bronze,19,Dario Saric,Philadelphia 76ers
Base Set Bronze,20,Bill Russell,Boston Celtics
Base Set Bronze,21,DeMar DeRozan,Toronto Raptors
Base Set Bronze,22,DeMarcus Cousins,New Orleans Pelicans
Base Set Bronze,23,Tim Duncan,San Antonio Spurs
Base Set Bronze,24,Denzel Valentine,Chicago Bulls
Base Set Bronze,25,Derrick Rose,New York Knicks
Base Set Bronze,26,Devin Booker,Phoenix Suns
Base Set Bronze,27,Dirk Nowitzki,Dallas Mavericks
Base Set Bronze,28,Domantas Sabonis,Oklahoma City Thunder
Base Set Bronze,29,Dragan Bender,Phoenix Suns
Base Set Bronze,30,Draymond Green,Golden State Warriors
Base Set Bronze,31,Dwight Howard,Atlanta Hawks
Base Set Bronze,32,Dejounte Murray,San Antonio Spurs
Base Set Bronze,33,Dwyane Wade,Chicago Bulls
Base Set Bronze,34,Hakeem Olajuwon,Houston Rockets
Base Set Bronze,35,Eric Gordon,Houston Rockets
Base Set Bronze,36,Oscar Robertson,Milwaukee Bucks
Base Set Bronze,37,Jerry West,Los Angeles Lakers
Base Set Bronze,38,Karl Malone,Utah Jazz
Base Set Bronze,39,Giannis Antetokounmpo,Milwaukee Bucks
Base Set Bronze,40,Goran Dragic,Miami Heat
Base Set Bronze,41,Gordon Hayward,Utah Jazz
Base Set Bronze,42,Harrison Barnes,Dallas Mavericks
Base Set Bronze,43,Hassan Whiteside,Miami Heat
Base Set Bronze,44,Isaiah Thomas,Boston Celtics
Base Set Bronze,45,Jakob Poeltl,Toronto Raptors
Base Set Bronze,46,Jamal Murray,Denver Nuggets
Base Set Bronze,47,James Harden,Houston Rockets
Base Set Bronze,48,Jaylen Brown,Boston Celtics
Base Set Bronze,49,Jeff Teague,Indiana Pacers
Base Set Bronze,50,Jeremy Lin,Brooklyn Nets
Base Set Bronze,51,Jimmy Butler,Chicago Bulls
Base Set Bronze,52,Joel Embiid,Philadelphia 76ers
Base Set Bronze,53,John Wall,Washington Wizards
Base Set Bronze,54,Jrue Holiday,New Orleans Pelicans
Base Set Bronze,55,Juan Hernangomez,Denver Nuggets
Base Set Bronze,56,Julius Randle,Los Angeles Lakers
Base Set Bronze,57,Justise Winslow,Miami Heat
Base Set Bronze,58,Karl-Anthony Towns,Minnesota Timberwolves
Base Set Bronze,59,Kawhi Leonard,San Antonio Spurs
Base Set Bronze,60,Julius Erving,Philadelphia 76ers
Base Set Bronze,61,Kemba Walker,Charlotte Hornets
Base Set Bronze,62,Kevin Durant,Golden State Warriors
Base Set Bronze,63,Klay Thompson,Golden State Warriors
Base Set Bronze,64,Kris Dunn,Minnesota Timberwolves
Base Set Bronze,65,Kristaps Porzingis,New York Knicks
Base Set Bronze,66,Kyle Lowry,Toronto Raptors
Base Set Bronze,67,Kyrie Irving,Cleveland Cavaliers
Base Set Bronze,68,LaMarcus Aldridge,San Antonio Spurs
Base Set Bronze,69,LeBron James,Cleveland Cavaliers
Base Set Bronze,70,Scottie Pippen,Chicago Bulls
Base Set Bronze,71,Malcolm Brogdon,Milwaukee Bucks
Base Set Bronze,72,Manu Ginobili,San Antonio Spurs
Base Set Bronze,73,Marc Gasol,Memphis Grizzlies
Base Set Bronze,74,Marquese Chriss,Phoenix Suns
Base Set Bronze,75,Michael Kidd-Gilchrist,Charlotte Hornets
Base Set Bronze,76,Myles Turner,Indiana Pacers
Base Set Bronze,77,Nicolas Batum,Charlotte Hornets
Base Set Bronze,78,Nikola Jokic,Denver Nuggets
Base Set Bronze,79,Otto Porter Jr.,Washington Wizards
Base Set Bronze,80,Patrick McCaw,Golden State Warriors
Base Set Bronze,81,Pau Gasol,San Antonio Spurs
Base Set Bronze,82,Paul George,Indiana Pacers
Base Set Bronze,83,Reggie Jackson,Detroit Pistons
Base Set Bronze,84,John Stockton,Utah Jazz
Base Set Bronze,85,Russell Westbrook,Oklahoma City Thunder
Base Set Bronze,86,David Robinson,San Antonio Spurs
Base Set Bronze,87,Skal Labissiere,Sacramento Kings
Base Set Bronze,88,Stephen Curry,Golden State Warriors
Base Set Bronze,89,Steven Adams,Oklahoma City Thunder
Base Set Bronze,90,Taurean Prince,Atlanta Hawks
Base Set Bronze,91,Thon Maker,Milwaukee Bucks
Base Set Bronze,92,Allen Iverson,Philadelphia 76ers
Base Set Bronze,93,Reggie Miller,Indiana Pacers
Base Set Bronze,94,Trevor Ariza,Houston Rockets
Base Set Bronze,95,Tyler Ulis,Phoenix Suns
Base Set Bronze,96,Victor Oladipo,Oklahoma City Thunder
Base Set Bronze,97,Dominique Wilkins,Atlanta Hawks
Base Set Bronze,98,Yogi Ferrell,Dallas Mavericks
Base Set Bronze,99,Zach LaVine,Minnesota Timberwolves
Base Set Bronze,100,John Havlicek,Boston Celtics
Base Set Double Diamond,1,Kobe Bryant,Los Angeles Lakers
Base Set Double Diamond,2,Shaquille O'Neal,Orlando Magic
Base Set Double Diamond,3,Larry Bird,Boston Celtics
Base Set Double Diamond,4,Andrew Wiggins,Minnesota Timberwolves
Base Set Double Diamond,5,Anthony Davis,New Orleans Pelicans
Base Set Double Diamond,6,Ben Simmons,Philadelphia 76ers
Base Set Double Diamond,7,Blake Griffin,Los Angeles Clippers
Base Set Double Diamond,8,Bradley Beal,Washington Wizards
Base Set Double Diamond,9,Brandon Ingram,Los Angeles Lakers
Base Set Double Diamond,10,Magic Johnson,Los Angeles Lakers
Base Set Double Diamond,11,Buddy Hield,Sacramento Kings
Base Set Double Diamond,12,C.J. McCollum,Portland Trail Blazers
Base Set Double Diamond,13,Wilt Chamberlain,Philadelphia 76ers
Base Set Double Diamond,14,Carmelo Anthony,New York Knicks
Base Set Double Diamond,15,Chris Paul,Los Angeles Clippers
Base Set Double Diamond,16,Damian Lillard,Portland Trail Blazers
Base Set Double Diamond,17,D'Angelo Russell,Los Angeles Lakers
Base Set Double Diamond,18,Kareem Abdul-Jabbar,Los Angeles Lakers
Base Set Double Diamond,19,Dario Saric,Philadelphia 76ers
Base Set Double Diamond,20,Bill Russell,Boston Celtics
Base Set Double Diamond,21,DeMar DeRozan,Toronto Raptors
Base Set Double Diamond,22,DeMarcus Cousins,New Orleans Pelicans
Base Set Double Diamond,23,Tim Duncan,San Antonio Spurs
Base Set Double Diamond,24,Denzel Valentine,Chicago Bulls
Base Set Double Diamond,25,Derrick Rose,New York Knicks
Base Set Double Diamond,26,Devin Booker,Phoenix Suns
Base Set Double Diamond,27,Dirk Nowitzki,Dallas Mavericks
Base Set Double Diamond,28,Domantas Sabonis,Oklahoma City Thunder
Base Set Double Diamond,29,Dragan Bender,Phoenix Suns
Base Set Double Diamond,30,Draymond Green,Golden State Warriors
Base Set Double Diamond,31,Dwight Howard,Atlanta Hawks
Base Set Double Diamond,32,Dejounte Murray,San Antonio Spurs
Base Set Double Diamond,33,Dwyane Wade,Chicago Bulls
Base Set Double Diamond,34,Hakeem Olajuwon,Houston Rockets
Base Set Double Diamond,35,Eric Gordon,Houston Rockets
Base Set Double Diamond,36,Oscar Robertson,Milwaukee Bucks
Base Set Double Diamond,37,Jerry West,Los Angeles Lakers
Base Set Double Diamond,38,Karl Malone,Utah Jazz
Base Set Double Diamond,39,Giannis Antetokounmpo,Milwaukee Bucks
Base Set Double Diamond,40,Goran Dragic,Miami Heat
Base Set Double Diamond,41,Gordon Hayward,Utah Jazz
Base Set Double Diamond,42,Harrison Barnes,Dallas Mavericks
Base Set Double Diamond,43,Hassan Whiteside,Miami Heat
Base Set Double Diamond,44,Isaiah Thomas,Boston Celtics
Base Set Double Diamond,45,Jakob Poeltl,Toronto Raptors
Base Set Double Diamond,46,Jamal Murray,Denver Nuggets
Base Set Double Diamond,47,James Harden,Houston Rockets
Base Set Double Diamond,48,Jaylen Brown,Boston Celtics
Base Set Double Diamond,49,Jeff Teague,Indiana Pacers
Base Set Double Diamond,50,Jeremy Lin,Brooklyn Nets
Base Set Double Diamond,51,Jimmy Butler,Chicago Bulls
Base Set Double Diamond,52,Joel Embiid,Philadelphia 76ers
Base Set Double Diamond,53,John Wall,Washington Wizards
Base Set Double Diamond,54,Jrue Holiday,New Orleans Pelicans
Base Set Double Diamond,55,Juan Hernangomez,Denver Nuggets
Base Set Double Diamond,56,Julius Randle,Los Angeles Lakers
Base Set Double Diamond,57,Justise Winslow,Miami Heat
Base Set Double Diamond,58,Karl-Anthony Towns,Minnesota Timberwolves
Base Set Double Diamond,59,Kawhi Leonard,San Antonio Spurs
Base Set Double Diamond,60,Julius Erving,Philadelphia 76ers
Base Set Double Diamond,61,Kemba Walker,Charlotte Hornets
Base Set Double Diamond,62,Kevin Durant,Golden State Warriors
Base Set Double Diamond,63,Klay Thompson,Golden State Warriors
Base Set Double Diamond,64,Kris Dunn,Minnesota Timberwolves
Base Set Double Diamond,65,Kristaps Porzingis,New York Knicks
Base Set Double Diamond,66,Kyle Lowry,Toronto Raptors
Base Set Double Diamond,67,Kyrie Irving,Cleveland Cavaliers
Base Set Double Diamond,68,LaMarcus Aldridge,San Antonio Spurs
Base Set Double Diamond,69,LeBron James,Cleveland Cavaliers
Base Set Double Diamond,70,Scottie Pippen,Chicago Bulls
Base Set Double Diamond,71,Malcolm Brogdon,Milwaukee Bucks
Base Set Double Diamond,72,Manu Ginobili,San Antonio Spurs
Base Set Double Diamond,73,Marc Gasol,Memphis Grizzlies
Base Set Double Diamond,74,Marquese Chriss,Phoenix Suns
Base Set Double Diamond,75,Michael Kidd-Gilchrist,Charlotte Hornets
Base Set Double Diamond,76,Myles Turner,Indiana Pacers
Base Set Double Diamond,77,Nicolas Batum,Charlotte Hornets
Base Set Double Diamond,78,Nikola Jokic,Denver Nuggets
Base Set Double Diamond,79,Otto Porter Jr.,Washington Wizards
Base Set Double Diamond,80,Patrick McCaw,Golden State Warriors
Base Set Double Diamond,81,Pau Gasol,San Antonio Spurs
Base Set Double Diamond,82,Paul George,Indiana Pacers
Base Set Double Diamond,83,Reggie Jackson,Detroit Pistons
Base Set Double Diamond,84,John Stockton,Utah Jazz
Base Set Double Diamond,85,Russell Westbrook,Oklahoma City Thunder
Base Set Double Diamond,86,David Robinson,San Antonio Spurs
Base Set Double Diamond,87,Skal Labissiere,Sacramento Kings
Base Set Double Diamond,88,Stephen Curry,Golden State Warriors
Base Set Double Diamond,89,Steven Adams,Oklahoma City Thunder
Base Set Double Diamond,90,Taurean Prince,Atlanta Hawks
Base Set Double Diamond,91,Thon Maker,Milwaukee Bucks
Base Set Double Diamond,92,Allen Iverson,Philadelphia 76ers
Base Set Double Diamond,93,Reggie Miller,Indiana Pacers
Base Set Double Diamond,94,Trevor Ariza,Houston Rockets
Base Set Double Diamond,95,Tyler Ulis,Phoenix Suns
Base Set Double Diamond,96,Victor Oladipo,Oklahoma City Thunder
Base Set Double Diamond,97,Dominique Wilkins,Atlanta Hawks
Base Set Double Diamond,98,Yogi Ferrell,Dallas Mavericks
Base Set Double Diamond,99,Zach LaVine,Minnesota Timberwolves
Base Set Double Diamond,100,John Havlicek,Boston Celtics
Base Set Platinum,1,Kobe Bryant,Los Angeles Lakers
Base Set Platinum,2,Shaquille O'Neal,Orlando Magic
Base Set Platinum,3,Larry Bird,Boston Celtics
Base Set Platinum,4,Andrew Wiggins,Minnesota Timberwolves
Base Set Platinum,5,Anthony Davis,New Orleans Pelicans
Base Set Platinum,6,Ben Simmons,Philadelphia 76ers
Base Set Platinum,7,Blake Griffin,Los Angeles Clippers
Base Set Platinum,8,Bradley Beal,Washington Wizards
Base Set Platinum,9,Brandon Ingram,Los Angeles Lakers
Base Set Platinum,10,Magic Johnson,Los Angeles Lakers
Base Set Platinum,11,Buddy Hield,Sacramento Kings
Base Set Platinum,12,C.J. McCollum,Portland Trail Blazers
Base Set Platinum,13,Wilt Chamberlain,Philadelphia 76ers
Base Set Platinum,14,Carmelo Anthony,New York Knicks
Base Set Platinum,15,Chris Paul,Los Angeles Clippers
Base Set Platinum,16,Damian Lillard,Portland Trail Blazers
Base Set Platinum,17,D'Angelo Russell,Los Angeles Lakers
Base Set Platinum,18,Kareem Abdul-Jabbar,Los Angeles Lakers
Base Set Platinum,19,Dario Saric,Philadelphia 76ers
Base Set Platinum,20,Bill Russell,Boston Celtics
Base Set Platinum,21,DeMar DeRozan,Toronto Raptors
Base Set Platinum,22,DeMarcus Cousins,New Orleans Pelicans
Base Set Platinum,23,Tim Duncan,San Antonio Spurs
Base Set Platinum,24,Denzel Valentine,Chicago Bulls
Base Set Platinum,25,Derrick Rose,New York Knicks
Base Set Platinum,26,Devin Booker,Phoenix Suns
Base Set Platinum,27,Dirk Nowitzki,Dallas Mavericks
Base Set Platinum,28,Domantas Sabonis,Oklahoma City Thunder
Base Set Platinum,29,Dragan Bender,Phoenix Suns
Base Set Platinum,30,Draymond Green,Golden State Warriors
Base Set Platinum,31,Dwight Howard,Atlanta Hawks
Base Set Platinum,32,Dejounte Murray,San Antonio Spurs
