"Card Set,Card Number,Player,Team,Print Run"
"Base,50,Rudy Gobert,Utah Jazz,"
"Base,51,George Hill,Utah Jazz,"
"Base,52,Gordon Hayward,Utah Jazz,"
"Base,53,Rodney Hood,Utah Jazz,"
"Base,54,DeMarcus Cousins,Sacramento Kings,"
"Base,55,Ben McLemore,Sacramento Kings,"
"Base,56,Willie Cauley-Stein,Sacramento Kings,"
"Base,57,Rudy Gay,Sacramento Kings,"
"Base,58,Omri Casspi,Sacramento Kings,"
"Base,59,Carmelo Anthony,New York Knicks,"
"Base,60,Kristaps Porzingis,New York Knicks,"
"Base,61,Joakim Noah,New York Knicks,"
"Base,62,Derrick Rose,New York Knicks,"
"Base,63,Larry Nance Jr.,Los Angeles Lakers,"
"Base,64,D'Angelo Russell,Los Angeles Lakers,"
"Base,65,Julius Randle,Los Angeles Lakers,"
"Base,66,Lou Williams,Los Angeles Lakers,"
"Base,67,Serge Ibaka,Orlando Magic,"
"Base,68,Jeff Green,Orlando Magic,"
"Base,69,Mario Hezonja,Orlando Magic,"
"Base,70,Evan Fournier,Orlando Magic,"
"Base,71,Aaron Gordon,Orlando Magic,"
"Base,72,Bismack Biyombo,Orlando Magic,"
"Base,73,Nikola Vucevic,Orlando Magic,"
"Base,74,Harrison Barnes,Dallas Mavericks,"
"Base,75,Andrew Bogut,Dallas Mavericks,"
"Base,76,J.J. Barea,Dallas Mavericks,"
"Base,77,Dirk Nowitzki,Dallas Mavericks,"
"Base,78,Deron Williams,Dallas Mavericks,"
"Base,79,Wesley Matthews,Dallas Mavericks,"
"Base,80,Brook Lopez,Brooklyn Nets,"
"Base,81,Rondae Hollis-Jefferson,Brooklyn Nets,"
"Base,82,Bojan Bogdanovic,Brooklyn Nets,"
"Base,83,Jeremy Lin,Brooklyn Nets,"
"Base,84,Chris McCullough,Brooklyn Nets,"
"Base,85,Emmanuel Mudiay,Denver Nuggets,"
"Base,86,Kenneth Faried,Denver Nuggets,"
"Base,87,Danilo Gallinari,Denver Nuggets,"
"Base,88,Will Barton,Denver Nuggets,"
"Base,89,Wilson Chandler,Denver Nuggets,"
"Base,90,Nikola Jokic,Denver Nuggets,"
"Base,91,Jeff Teague,Indiana Pacers,"
"Base,92,Myles Turner,Indiana Pacers,"
"Base,93,Paul George,Indiana Pacers,"
"Base,94,Monta Ellis,Indiana Pacers,"
"Base,95,C.J. Miles,Indiana Pacers,"
"Base,96,Thaddeus Young,Indiana Pacers,"
"Base,97,Anthony Davis,New Orleans Pelicans,"
"Base,98,Tyreke Evans,New Orleans Pelicans,"
"Base,99,Jrue Holiday,New Orleans Pelicans,"
"Base,100,Stanley Johnson,Detroit Pistons,"
"Base,101,Marcus Morris,Detroit Pistons,"
"Base,102,Kentavious Caldwell-Pope,Detroit Pistons,"
"Base,103,Reggie Jackson,Detroit Pistons,"
"Base,104,Andre Drummond,Detroit Pistons,"
"Base,105,DeMar DeRozan,Toronto Raptors,"
"Base,106,Kyle Lowry,Toronto Raptors,"
"Base,107,Jonas Valanciunas,Toronto Raptors,"
"Base,108,DeMarre Carroll,Toronto Raptors,"
"Base,109,Norman Powell,Toronto Raptors,"
"Base,110,James Harden,Houston Rockets,"
"Base,111,Trevor Ariza,Houston Rockets,"
"Base,112,Clint Capela,Houston Rockets,"
"Base,113,Sam Dekker,Houston Rockets,"
"Base,114,Patrick Beverley,Houston Rockets,"
"Base,115,LaMarcus Aldridge,San Antonio Spurs,"
"Base,116,Kawhi Leonard,San Antonio Spurs,"
"Base,117,Tony Parker,San Antonio Spurs,"
"Base,118,Manu Ginobili,San Antonio Spurs,"
"Base,119,Pau Gasol,San Antonio Spurs,"
"Base,120,Eric Bledsoe,Phoenix Suns,"
"Base,121,Devin Booker,Phoenix Suns,"
"Base,122,Brandon Knight,Phoenix Suns,"
"Base,123,Alex Len,Phoenix Suns,"
"Base,124,Tyson Chandler,Phoenix Suns,"
"Base,125,Andrew Wiggins,Minnesota Timberwolves,"
"Base,126,Zach LaVine,Minnesota Timberwolves,"
"Base,127,Ricky Rubio,Minnesota Timberwolves,"
"Base,128,Karl-Anthony Towns,Minnesota Timberwolves,"
"Base,129,Kevin Garnett,Minnesota Timberwolves,"
"Base,130,C.J. McCollum,Portland Trail Blazers,"
"Base,131,Damian Lillard,Portland Trail Blazers,"
"Base,132,Evan Turner,Portland Trail Blazers,"
"Base,133,Al-Farouq Aminu,Portland Trail Blazers,"
"Base,134,Mason Plumlee,Portland Trail Blazers,"
"Base,135,Stephen Curry,Golden State Warriors,"
"Base,136,Klay Thompson,Golden State Warriors,"
"Base,137,Kevin Durant,Golden State Warriors,"
"Base,138,Draymond Green,Golden State Warriors,"
"Base,139,Andre Iguodala,Golden State Warriors,"
"Base,140,John Wall,Washington Wizards,"
"Base,141,Markieff Morris,Washington Wizards,"
"Base,142,Marcin Gortat,Washington Wizards,"
"Base,143,Bradley Beal,Washington Wizards,"
"Base,144,Kelly Oubre Jr.,Washington Wizards,"
"Base,145,Russell Westbrook,Oklahoma City Thunder,"
"Base,146,Victor Oladipo,Oklahoma City Thunder,"
"Base,147,Steven Adams,Oklahoma City Thunder,"
"Base,148,Cameron Payne,Oklahoma City Thunder,"
"Base,149,Andre Roberson,Oklahoma City Thunder,"
"Base,150,Jordan Clarkson,Los Angeles Lakers,"
"Base Holo Blue Laser,1,Joel Embiid,Philadelphia 76ers,49"
"Base Holo Blue Laser,2,Jahlil Okafor,Philadelphia 76ers,49"
"Base Holo Blue Laser,3,Nerlens Noel,Philadelphia 76ers,49"
"Base Holo Blue Laser,4,T.J. McConnell,Philadelphia 76ers,49"
"Base Holo Blue Laser,5,Giannis Antetokounmpo,Milwaukee Bucks,49"
"Base Holo Blue Laser,6,Jabari Parker,Milwaukee Bucks,49"
"Base Holo Blue Laser,7,Khris Middleton,Milwaukee Bucks,49"
"Base Holo Blue Laser,8,Matthew Dellavedova,Milwaukee Bucks,49"
"Base Holo Blue Laser,9,John Henson,Milwaukee Bucks,49"
"Base Holo Blue Laser,10,Jimmy Butler,Chicago Bulls,49"
"Base Holo Blue Laser,11,Rajon Rondo,Chicago Bulls,49"
"Base Holo Blue Laser,12,Dwyane Wade,Chicago Bulls,49"
"Base Holo Blue Laser,13,Nikola Mirotic,Chicago Bulls,49"
"Base Holo Blue Laser,14,Bobby Portis,Chicago Bulls,49"
"Base Holo Blue Laser,15,LeBron James,Cleveland Cavaliers,49"
"Base Holo Blue Laser,16,Kevin Love,Cleveland Cavaliers,49"
"Base Holo Blue Laser,17,Kyrie Irving,Cleveland Cavaliers,49"
"Base Holo Blue Laser,18,Richard Jefferson,Cleveland Cavaliers,49"
"Base Holo Blue Laser,19,Tristan Thompson,Cleveland Cavaliers,49"
"Base Holo Blue Laser,20,Isaiah Thomas,Boston Celtics,49"
"Base Holo Blue Laser,21,Avery Bradley,Boston Celtics,49"
"Base Holo Blue Laser,22,Al Horford,Boston Celtics,49"
"Base Holo Blue Laser,23,Marcus Smart,Boston Celtics,49"
"Base Holo Blue Laser,24,Jordan Mickey,Boston Celtics,49"
"Base Holo Blue Laser,25,Chris Paul,Los Angeles Clippers,49"
"Base Holo Blue Laser,26,DeAndre Jordan,Los Angeles Clippers,49"
"Base Holo Blue Laser,27,Blake Griffin,Los Angeles Clippers,49"
"Base Holo Blue Laser,28,Jamal Crawford,Los Angeles Clippers,49"
"Base Holo Blue Laser,29,J.J. Redick,Los Angeles Clippers,49"
"Base Holo Blue Laser,30,Mike Conley,Memphis Grizzlies,49"
"Base Holo Blue Laser,31,Chandler Parsons,Memphis Grizzlies,49"
"Base Holo Blue Laser,32,Marc Gasol,Memphis Grizzlies,49"
"Base Holo Blue Laser,33,Zach Randolph,Memphis Grizzlies,49"
"Base Holo Blue Laser,34,Dennis Schroder,Atlanta Hawks,49"
"Base Holo Blue Laser,35,Paul Millsap,Atlanta Hawks,49"
"Base Holo Blue Laser,36,Dwight Howard,Atlanta Hawks,49"
"Base Holo Blue Laser,37,Kent Bazemore,Atlanta Hawks,49"
"Base Holo Blue Laser,38,Kyle Korver,Atlanta Hawks,49"
"Base Holo Blue Laser,39,Justise Winslow,Miami Heat,49"
"Base Holo Blue Laser,40,Josh Richardson,Miami Heat,49"
"Base Holo Blue Laser,41,Goran Dragic,Miami Heat,49"
"Base Holo Blue Laser,42,Chris Bosh,Miami Heat,49"
"Base Holo Blue Laser,43,Hassan Whiteside,Miami Heat,49"
"Base Holo Blue Laser,44,Kemba Walker,Charlotte Hornets,49"
"Base Holo Blue Laser,45,Nicolas Batum,Charlotte Hornets,49"
"Base Holo Blue Laser,46,Frank Kaminsky,Charlotte Hornets,49"
"Base Holo Blue Laser,47,Jeremy Lamb,Charlotte Hornets,49"
"Base Holo Blue Laser,48,Aaron Harrison,Charlotte Hornets,49"
"Base Holo Blue Laser,49,Alec Burks,Utah Jazz,49"
"Base Holo Blue Laser,50,Rudy Gobert,Utah Jazz,49"
"Base Holo Blue Laser,51,George Hill,Utah Jazz,49"
"Base Holo Blue Laser,52,Gordon Hayward,Utah Jazz,49"
"Base Holo Blue Laser,53,Rodney Hood,Utah Jazz,49"
"Base Holo Blue Laser,54,DeMarcus Cousins,Sacramento Kings,49"
"Base Holo Blue Laser,55,Ben McLemore,Sacramento Kings,49"
"Base Holo Blue Laser,56,Willie Cauley-Stein,Sacramento Kings,49"
"Base Holo Blue Laser,57,Rudy Gay,Sacramento Kings,49"
"Base Holo Blue Laser,58,Omri Casspi,Sacramento Kings,49"
"Base Holo Blue Laser,59,Carmelo Anthony,New York Knicks,49"
"Base Holo Blue Laser,60,Kristaps Porzingis,New York Knicks,49"
"Base Holo Blue Laser,61,Joakim Noah,New York Knicks,49"
"Base Holo Blue Laser,62,Derrick Rose,New York Knicks,49"
"Base Holo Blue Laser,63,Larry Nance Jr.,Los Angeles Lakers,49"
"Base Holo Blue Laser,64,D'Angelo Russell,Los Angeles Lakers,49"
"Base Holo Blue Laser,65,Julius Randle,Los Angeles Lakers,49"
"Base Holo Blue Laser,66,Lou Williams,Los Angeles Lakers,49"
"Base Holo Blue Laser,67,Serge Ibaka,Orlando Magic,49"
"Base Holo Blue Laser,68,Jeff Green,Orlando Magic,49"
"Base Holo Blue Laser,69,Mario Hezonja,Orlando Magic,49"
"Base Holo Blue Laser,70,Evan Fournier,Orlando Magic,49"
"Base Holo Blue Laser,71,Aaron Gordon,Orlando Magic,49"
"Base Holo Blue Laser,72,Bismack Biyombo,Orlando Magic,49"
"Base Holo Blue Laser,73,Nikola Vucevic,Orlando Magic,49"
"Base Holo Blue Laser,74,Harrison Barnes,Dallas Mavericks,49"
"Base Holo Blue Laser,75,Andrew Bogut,Dallas Mavericks,49"
"Base Holo Blue Laser,76,J.J. Barea,Dallas Mavericks,49"
"Base Holo Blue Laser,77,Dirk Nowitzki,Dallas Mavericks,49"
"Base Holo Blue Laser,78,Deron Williams,Dallas Mavericks,49"
"Base Holo Blue Laser,79,Wesley Matthews,Dallas Mavericks,49"
"Base Holo Blue Laser,80,Brook Lopez,Brooklyn Nets,49"
"Base Holo Blue Laser,81,Rondae Hollis-Jefferson,Brooklyn Nets,49"
"Base Holo Blue Laser,82,Bojan Bogdanovic,Brooklyn Nets,49"
"Base Holo Blue Laser,83,Jeremy Lin,Brooklyn Nets,49"
"Base Holo Blue Laser,84,Chris McCullough,Brooklyn Nets,49"
"Base Holo Blue Laser,85,Emmanuel Mudiay,Denver Nuggets,49"
"Base Holo Blue Laser,86,Kenneth Faried,Denver Nuggets,49"
"Base Holo Blue Laser,87,Danilo Gallinari,Denver Nuggets,49"
"Base Holo Blue Laser,88,Will Barton,Denver Nuggets,49"
"Base Holo Blue Laser,89,Wilson Chandler,Denver Nuggets,49"
"Base Holo Blue Laser,90,Nikola Jokic,Denver Nuggets,49"
"Base Holo Blue Laser,91,Jeff Teague,Indiana Pacers,49"
"Base Holo Blue Laser,92,Myles Turner,Indiana Pacers,49"
"Base Holo Blue Laser,93,Paul George,Indiana Pacers,49"
"Base Holo Blue Laser,94,Monta Ellis,Indiana Pacers,49"
"Base Holo Blue Laser,95,C.J. Miles,Indiana Pacers,49"
"Base Holo Blue Laser,96,Thaddeus Young,Indiana Pacers,49"
"Base Holo Blue Laser,97,Anthony Davis,New Orleans Pelicans,49"
"Base Holo Blue Laser,98,Tyreke Evans,New Orleans Pelicans,49"
"Base Holo Blue Laser,99,Jrue Holiday,New Orleans Pelicans,49"
"Base Holo Blue Laser,100,Stanley Johnson,Detroit Pistons,49"
"Base Holo Blue Laser,101,Marcus Morris,Detroit Pistons,49"
"Base Holo Blue Laser,102,Kentavious Caldwell-Pope,Detroit Pistons,49"
"Base Holo Blue Laser,103,Reggie Jackson,Detroit Pistons,49"
"Base Holo Blue Laser,104,Andre Drummond,Detroit Pistons,49"
"Base Holo Blue Laser,105,DeMar DeRozan,Toronto Raptors,49"
"Base Holo Blue Laser,106,Kyle Lowry,Toronto Raptors,49"
"Base Holo Blue Laser,107,Jonas Valanciunas,Toronto Raptors,49"
"Base Holo Blue Laser,108,DeMarre Carroll,Toronto Raptors,49"
"Base Holo Blue Laser,109,Norman Powell,Toronto Raptors,49"
"Base Holo Blue Laser,110,James Harden,Houston Rockets,49"
"Base Holo Blue Laser,111,Trevor Ariza,Houston Rockets,49"
"Base Holo Blue Laser,112,Clint Capela,Houston Rockets,49"
"Base Holo Blue Laser,113,Sam Dekker,Houston Rockets,49"
"Base Holo Blue Laser,114,Patrick Beverley,Houston Rockets,49"
"Base Holo Blue Laser,115,LaMarcus Aldridge,San Antonio Spurs,49"
"Base Holo Blue Laser,116,Kawhi Leonard,San Antonio Spurs,49"
"Base Holo Blue Laser,117,Tony Parker,San Antonio Spurs,49"
"Base Holo Blue Laser,118,Manu Ginobili,San Antonio Spurs,49"
"Base Holo Blue Laser,119,Pau Gasol,San Antonio Spurs,49"
"Base Holo Blue Laser,120,Eric Bledsoe,Phoenix Suns,49"
"Base Holo Blue Laser,121,Devin Booker,Phoenix Suns,49"
"Base Holo Blue Laser,122,Brandon Knight,Phoenix Suns,49"
"Base Holo Blue Laser,123,Alex Len,Phoenix Suns,49"
"Base Holo Blue Laser,124,Tyson Chandler,Phoenix Suns,49"
"Base Holo Blue Laser,125,Andrew Wiggins,Minnesota Timberwolves,49"
"Base Holo Blue Laser,126,Zach LaVine,Minnesota Timberwolves,49"
"Base Holo Blue Laser,127,Ricky Rubio,Minnesota Timberwolves,49"
"Base Holo Blue Laser,128,Karl-Anthony Towns,Minnesota Timberwolves,49"
"Base Holo Blue Laser,129,Kevin Garnett,Minnesota Timberwolves,49"
"Base Holo Blue Laser,130,C.J. McCollum,Portland Trail Blazers,49"
"Base Holo Blue Laser,131,Damian Lillard,Portland Trail Blazers,49"
"Base Holo Blue Laser,132,Evan Turner,Portland Trail Blazers,49"
"Base Holo Blue Laser,133,Al-Farouq Aminu,Portland Trail Blazers,49"
